gene_name,gene_id,genome
NOS2,ENSG00000007171,hg38
DNAH9,ENSG00000007174,hg38
BLTP2,ENSG00000007202,hg38
SLC13A2,ENSG00000007216,hg38
GAS7,ENSG00000007237,hg38
TRAPPC6A,ENSG00000007255,hg38
MATK,ENSG00000007264,hg38
CEACAM7,ENSG00000007306,hg38
CD79B,ENSG00000007312,hg38
SCN4A,ENSG00000007314,hg38
ST7L,ENSG00000007341,hg38
TKTL1,ENSG00000007350,hg38
PAX6,ENSG00000007372,hg38
RPUSD1,ENSG00000007376,hg38
RHBDF1,ENSG00000007384,hg38
LUC7L,ENSG00000007392,hg38
CACNA2D2,ENSG00000007402,hg38
BAIAP3,ENSG00000007516,hg38
TSR3,ENSG00000007520,hg38
PIGQ,ENSG00000007541,hg38
CRAMP1,ENSG00000007545,hg38
TEAD3,ENSG00000007866,hg38
SELE,ENSG00000007908,hg38
DNAJC11,ENSG00000007923,hg38
FMO3,ENSG00000007933,hg38
MYLIP,ENSG00000007944,hg38
NOX1,ENSG00000007952,hg38
E2F2,ENSG00000007968,hg38
PSMB1,ENSG00000008018,hg38
SYN1,ENSG00000008056,hg38
JARID2,ENSG00000008083,hg38
CDKL5,ENSG00000008086,hg38
CAMK1G,ENSG00000008118,hg38
CDK11A,ENSG00000008128,hg38
NADK,ENSG00000008130,hg38
TFAP2B,ENSG00000008196,hg38
TFAP2D,ENSG00000008197,hg38
DLEC1,ENSG00000008226,hg38
CYTH3,ENSG00000008256,hg38
ADAM22,ENSG00000008277,hg38
SYPL1,ENSG00000008282,hg38
CYB561,ENSG00000008283,hg38
SPAG9,ENSG00000008294,hg38
CELSR3,ENSG00000008300,hg38
AASS,ENSG00000008311,hg38
PLEKHG6,ENSG00000008323,hg38
SS18L2,ENSG00000008324,hg38
MPND,ENSG00000008382,hg38
MGST1,ENSG00000008394,hg38
CRY1,ENSG00000008405,hg38
PGLYRP1,ENSG00000008438,hg38
NFIX,ENSG00000008441,hg38
ST3GAL1,ENSG00000008513,hg38
MMP25,ENSG00000008516,hg38
IL32,ENSG00000008517,hg38
PKD1,ENSG00000008710,hg38
MAPK8IP2,ENSG00000008735,hg38
MED24,ENSG00000008838,hg38
RHOBTB2,ENSG00000008853,hg38
HEATR5B,ENSG00000008869,hg38
SEC62,ENSG00000008952,hg38
RPS20,ENSG00000008988,hg38
CSDE1,ENSG00000009307,hg38
UBE3C,ENSG00000009335,hg38
REV3L,ENSG00000009413,hg38
TENM1,ENSG00000009694,hg38
PAX7,ENSG00000009709,hg38
MASP2,ENSG00000009724,hg38
IYD,ENSG00000009765,hg38
FAM76A,ENSG00000009780,hg38
TRAF3IP3,ENSG00000009790,hg38
POMT2,ENSG00000009830,hg38
VTA1,ENSG00000009844,hg38
MLXIPL,ENSG00000009950,hg38
BAZ1B,ENSG00000009954,hg38
RANBP9,ENSG00000010017,hg38
ETV7,ENSG00000010030,hg38
SPRTN,ENSG00000010072,hg38
METTL13,ENSG00000010165,hg38
DYRK4,ENSG00000010219,hg38
ZNF207,ENSG00000010244,hg38
UQCRC1,ENSG00000010256,hg38
STARD3NL,ENSG00000010270,hg38
CD9,ENSG00000010278,hg38
HHATL,ENSG00000010282,hg38
NCAPD2,ENSG00000010292,hg38
IFFO1,ENSG00000010295,hg38
GIPR,ENSG00000010310,hg38
PHF7,ENSG00000010318,hg38
SEMA3G,ENSG00000010319,hg38
NISCH,ENSG00000010322,hg38
STAB1,ENSG00000010327,hg38
FUZ,ENSG00000010361,hg38
SLC6A13,ENSG00000010379,hg38
IDS,ENSG00000010404,hg38
PRSS3,ENSG00000010438,hg38
ZNF200,ENSG00000010539,hg38
CD4,ENSG00000010610,hg38
LRRC23,ENSG00000010626,hg38
BTK,ENSG00000010671,hg38
HFE,ENSG00000010704,hg38
SCMH1,ENSG00000010803,hg38
FYN,ENSG00000010810,hg38
HIVEP2,ENSG00000010818,hg38
FMO1,ENSG00000010932,hg38
ELOA,ENSG00000011007,hg38
LYPLA2,ENSG00000011009,hg38
CLCN6,ENSG00000011021,hg38
MRC2,ENSG00000011028,hg38
NME1-NME2,ENSG00000011052,hg38
SLC6A7,ENSG00000011083,hg38
TSPAN9,ENSG00000011105,hg38
BTBD7,ENSG00000011114,hg38
